Date : 2026-08-31 22:36:53
Directory : /Users/arjunaravapalli/personalassistant/personalassistant
Total : 1050 files,  1315361 codes, 15754 comments, 35729 blanks, all 1366844 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| apps/android/gradle/wrapper                                                                                                                                                                  |          1 |          7 |          0 |          1 |          8 |
| apps/api                                                                                                                                                                                     |        496 |    120,571 |         58 |      6,394 |    127,023 |
| apps/api (Files)                                                                                                                                                                             |          3 |        124 |          0 |          4 |        128 |
| apps/api/migrations                                                                                                                                                                          |         79 |      7,077 |          7 |      1,005 |      8,089 |
| apps/api/src                                                                                                                                                                                 |        414 |    113,370 |         51 |      5,385 |    118,806 |
| apps/api/src (Files)                                                                                                                                                                         |          6 |      4,217 |          1 |        125 |      4,343 |
| apps/api/src/active-context                                                                                                                                                                  |          2 |        587 |          0 |         36 |        623 |
| apps/api/src/adapter-sdk                                                                                                                                                                     |          4 |        863 |          0 |         37 |        900 |
| apps/api/src/advisor                                                                                                                                                                         |          4 |      1,353 |          0 |         96 |      1,449 |
| apps/api/src/agent-cognition                                                                                                                                                                 |          4 |      1,320 |          0 |         89 |      1,409 |
| apps/api/src/agent-economy                                                                                                                                                                   |          5 |      1,005 |          0 |        102 |      1,107 |
| apps/api/src/agent-evolution                                                                                                                                                                 |          4 |      1,161 |          0 |         84 |      1,245 |
| apps/api/src/agent-society                                                                                                                                                                   |          4 |      1,378 |          0 |         41 |      1,419 |
| apps/api/src/agent-workforce                                                                                                                                                                 |          5 |        587 |          0 |         52 |        639 |
| apps/api/src/agents                                                                                                                                                                          |         11 |      3,566 |          0 |        249 |      3,815 |
| apps/api/src/ai                                                                                                                                                                              |         40 |     11,203 |         11 |        374 |     11,588 |
| apps/api/src/ai (Files)                                                                                                                                                                      |         13 |      3,511 |          6 |        108 |      3,625 |
| apps/api/src/ai/benchmark                                                                                                                                                                    |          7 |      1,198 |          2 |         56 |      1,256 |
| apps/api/src/ai/context                                                                                                                                                                      |          3 |      1,942 |          1 |         47 |      1,990 |
| apps/api/src/ai/economics                                                                                                                                                                    |          8 |      2,519 |          0 |         97 |      2,616 |
| apps/api/src/ai/embeddings                                                                                                                                                                   |          4 |        163 |          0 |         22 |        185 |
| apps/api/src/ai/providers                                                                                                                                                                    |          2 |        649 |          1 |          8 |        658 |
| apps/api/src/ai/router                                                                                                                                                                       |          3 |      1,221 |          1 |         36 |      1,258 |
| apps/api/src/application-adapters                                                                                                                                                            |          4 |      1,266 |          0 |         53 |      1,319 |
| apps/api/src/application-discovery                                                                                                                                                           |          4 |        598 |          0 |         36 |        634 |
| apps/api/src/application-intelligence                                                                                                                                                        |          4 |        942 |          0 |         34 |        976 |
| apps/api/src/application-interactions                                                                                                                                                        |          4 |      1,938 |          3 |         97 |      2,038 |
| apps/api/src/business-os                                                                                                                                                                     |          2 |      1,072 |          0 |         15 |      1,087 |
| apps/api/src/capability-studio                                                                                                                                                               |          4 |        992 |          0 |         75 |      1,067 |
| apps/api/src/companies                                                                                                                                                                       |          7 |        558 |          1 |         72 |        631 |
| apps/api/src/conversation                                                                                                                                                                    |          3 |        173 |          0 |         18 |        191 |
| apps/api/src/conversation-continuity                                                                                                                                                         |          4 |      1,809 |          0 |        128 |      1,937 |
| apps/api/src/core-adapters                                                                                                                                                                   |          4 |      1,370 |          0 |         45 |      1,415 |
| apps/api/src/cross-application-workflows                                                                                                                                                     |          4 |      1,487 |          0 |         54 |      1,541 |
| apps/api/src/cross-device                                                                                                                                                                    |          3 |      1,218 |          0 |         83 |      1,301 |
| apps/api/src/deep-indexers                                                                                                                                                                   |          4 |      1,262 |          0 |         48 |      1,310 |
| apps/api/src/desktop                                                                                                                                                                         |          5 |      4,592 |          2 |         96 |      4,690 |
| apps/api/src/desktop-skills                                                                                                                                                                  |          4 |      1,329 |          0 |         54 |      1,383 |
| apps/api/src/execution                                                                                                                                                                       |          7 |      2,096 |          6 |         86 |      2,188 |
| apps/api/src/executive                                                                                                                                                                       |         11 |      1,706 |          0 |         27 |      1,733 |
| apps/api/src/experiments                                                                                                                                                                     |          2 |        157 |          0 |         26 |        183 |
| apps/api/src/external-harvest                                                                                                                                                                |          5 |      1,796 |          0 |         56 |      1,852 |
| apps/api/src/governance                                                                                                                                                                      |         13 |      2,660 |          3 |        182 |      2,845 |
| apps/api/src/human-understanding                                                                                                                                                             |          6 |      4,314 |          0 |        152 |      4,466 |
| apps/api/src/identity                                                                                                                                                                        |          9 |      1,624 |          1 |        160 |      1,785 |
| apps/api/src/integrations                                                                                                                                                                    |          8 |      1,349 |          0 |         87 |      1,436 |
| apps/api/src/intelligence                                                                                                                                                                    |         10 |        848 |          4 |         87 |        939 |
| apps/api/src/intent                                                                                                                                                                          |          4 |      1,121 |          0 |         39 |      1,160 |
| apps/api/src/intent-recording                                                                                                                                                                |          4 |      2,302 |          0 |         62 |      2,364 |
| apps/api/src/knowledge-graph                                                                                                                                                                 |          4 |      1,574 |          0 |        101 |      1,675 |
| apps/api/src/learning-engine                                                                                                                                                                 |          4 |      1,638 |          0 |        119 |      1,757 |
| apps/api/src/local-ai                                                                                                                                                                        |          6 |        467 |          6 |         35 |        508 |
| apps/api/src/memory                                                                                                                                                                          |          6 |      1,397 |          0 |        110 |      1,507 |
| apps/api/src/memory-studio                                                                                                                                                                   |          4 |      2,032 |          0 |         97 |      2,129 |
| apps/api/src/native-providers                                                                                                                                                                |          4 |      1,582 |          0 |         59 |      1,641 |
| apps/api/src/notifications                                                                                                                                                                   |          4 |        664 |          0 |         62 |        726 |
| apps/api/src/objectives                                                                                                                                                                      |          2 |        520 |          2 |         44 |        566 |
| apps/api/src/patches                                                                                                                                                                         |          4 |        561 |          0 |         41 |        602 |
| apps/api/src/persistence                                                                                                                                                                     |          3 |        395 |          2 |         25 |        422 |
| apps/api/src/reflection                                                                                                                                                                      |         12 |      2,810 |          1 |         56 |      2,867 |
| apps/api/src/repositories                                                                                                                                                                    |          4 |      2,681 |          0 |        101 |      2,782 |
| apps/api/src/routes                                                                                                                                                                          |         68 |     10,112 |          0 |        638 |     10,750 |
| apps/api/src/scripts                                                                                                                                                                         |         16 |      1,691 |          2 |         79 |      1,772 |
| apps/api/src/security-state                                                                                                                                                                  |          2 |        678 |          0 |         28 |        706 |
| apps/api/src/semantic                                                                                                                                                                        |          4 |      1,189 |          0 |         54 |      1,243 |
| apps/api/src/skill-evolution                                                                                                                                                                 |          6 |      2,284 |          0 |         93 |      2,377 |
| apps/api/src/spatial                                                                                                                                                                         |          4 |      3,254 |          0 |         57 |      3,311 |
| apps/api/src/tasks                                                                                                                                                                           |          4 |      1,312 |          0 |         44 |      1,356 |
| apps/api/src/telemetry                                                                                                                                                                       |          1 |         37 |          0 |          6 |         43 |
| apps/api/src/validation                                                                                                                                                                      |          5 |        586 |          0 |         42 |        628 |
| apps/api/src/voice                                                                                                                                                                           |          7 |      5,407 |          6 |        178 |      5,591 |
| apps/api/src/workflows                                                                                                                                                                       |          4 |      1,047 |          0 |         62 |      1,109 |
| apps/api/src/workforce-runtime                                                                                                                                                               |          4 |        812 |          0 |         58 |        870 |
| apps/api/src/workspace-intelligence                                                                                                                                                          |          4 |        821 |          0 |         39 |        860 |
| apps/mac-agent                                                                                                                                                                               |         83 |    937,769 |     13,395 |     20,056 |    971,220 |
| apps/mac-agent (Files)                                                                                                                                                                       |          6 |        196 |          0 |         10 |        206 |
| apps/mac-agent/build-resources                                                                                                                                                               |          3 |         23 |          0 |          3 |         26 |
| apps/mac-agent/dist-electron                                                                                                                                                                 |          2 |    271,283 |     10,516 |        361 |    282,160 |
| apps/mac-agent/electron                                                                                                                                                                      |         44 |      8,245 |         17 |        516 |      8,778 |
| apps/mac-agent/electron (Files)                                                                                                                                                              |         30 |      5,342 |         17 |        370 |      5,729 |
| apps/mac-agent/electron/execution                                                                                                                                                            |         14 |      2,903 |          0 |        146 |      3,049 |
| apps/mac-agent/native                                                                                                                                                                        |          4 |        945 |         27 |         78 |      1,050 |
| apps/mac-agent/public                                                                                                                                                                        |          6 |    653,799 |      2,820 |     18,807 |    675,426 |
| apps/mac-agent/public/mediapipe                                                                                                                                                              |          6 |    653,799 |      2,820 |     18,807 |    675,426 |
| apps/mac-agent/public/mediapipe/wasm                                                                                                                                                         |          6 |    653,799 |      2,820 |     18,807 |    675,426 |
| apps/mac-agent/scripts                                                                                                                                                                       |          6 |        503 |          2 |         45 |        550 |
| apps/mac-agent/src                                                                                                                                                                           |         12 |      2,775 |         13 |        236 |      3,024 |
| apps/mobile                                                                                                                                                                                  |          1 |         17 |          0 |          6 |         23 |
| apps/web                                                                                                                                                                                     |         75 |     32,168 |         41 |      1,997 |     34,206 |
| apps/web (Files)                                                                                                                                                                             |          5 |         97 |          1 |         12 |        110 |
| apps/web/src                                                                                                                                                                                 |         70 |     32,071 |         40 |      1,985 |     34,096 |
| apps/web/src (Files)                                                                                                                                                                         |         67 |     31,428 |         37 |      1,925 |     33,390 |
| apps/web/src/spatial-ui                                                                                                                                                                      |          3 |        643 |          3 |         60 |        706 |
| deploy                                                                                                                                                                                       |          5 |        104 |          0 |         24 |        128 |
| deploy/cloud                                                                                                                                                                                 |          2 |         37 |          0 |         11 |         48 |
| deploy/otel-collector                                                                                                                                                                        |          1 |         26 |          0 |          1 |         27 |
| deploy/reverse-proxy                                                                                                                                                                         |          1 |          9 |          0 |          3 |         12 |
| deploy/tailscale                                                                                                                                                                             |          1 |         32 |          0 |          9 |         41 |
| docs                                                                                                                                                                                         |        185 |      7,476 |          0 |      2,268 |      9,744 |
| docs (Files)                                                                                                                                                                                 |        184 |      7,443 |          0 |      2,257 |      9,700 |
| docs/external-harvest                                                                                                                                                                        |          1 |         33 |          0 |         11 |         44 |
| external-research                                                                                                                                                                            |         55 |    166,444 |      2,224 |      1,707 |    170,375 |
| external-research/gbrain                                                                                                                                                                     |          1 |          8 |          0 |          5 |         13 |
| external-research/gbrain/recipes                                                                                                                                                             |          1 |          8 |          0 |          5 |         13 |
| external-research/gbrain/recipes/agent-voice                                                                                                                                                 |          1 |          8 |          0 |          5 |         13 |
| external-research/gbrain/recipes/agent-voice/tests                                                                                                                                           |          1 |          8 |          0 |          5 |         13 |
| external-research/gbrain/recipes/agent-voice/tests/evals                                                                                                                                     |          1 |          8 |          0 |          5 |         13 |
| external-research/gbrain/recipes/agent-voice/tests/evals/baseline-runs                                                                                                                       |          1 |          8 |          0 |          5 |         13 |
| external-research/gbrain/recipes/agent-voice/tests/evals/baseline-runs/canonical                                                                                                             |          1 |          8 |          0 |          5 |         13 |
| external-research/hermes-agent                                                                                                                                                               |          5 |     12,012 |      2,198 |      1,515 |     15,725 |
| external-research/hermes-agent/apps                                                                                                                                                          |          3 |     11,916 |      2,198 |      1,506 |     15,620 |
| external-research/hermes-agent/apps/desktop                                                                                                                                                  |          3 |     11,916 |      2,198 |      1,506 |     15,620 |
| external-research/hermes-agent/apps/desktop/src                                                                                                                                              |          3 |     11,916 |      2,198 |      1,506 |     15,620 |
| external-research/hermes-agent/apps/desktop/src (Files)                                                                                                                                      |          2 |        915 |        339 |         82 |      1,336 |
| external-research/hermes-agent/apps/desktop/src/plugins                                                                                                                                      |          1 |     11,001 |      1,859 |      1,424 |     14,284 |
| external-research/hermes-agent/apps/desktop/src/plugins/hermes-bots                                                                                                                          |          1 |     11,001 |      1,859 |      1,424 |     14,284 |
| external-research/hermes-agent/evals                                                                                                                                                         |          1 |         28 |          0 |          8 |         36 |
| external-research/hermes-agent/evals/readtool                                                                                                                                                |          1 |         28 |          0 |          8 |         36 |
| external-research/hermes-agent/evals/readtool/results                                                                                                                                        |          1 |         28 |          0 |          8 |         36 |
| external-research/hermes-agent/hermes_cli                                                                                                                                                    |          1 |         68 |          0 |          1 |         69 |
| external-research/hermes-agent/hermes_cli/data                                                                                                                                               |          1 |         68 |          0 |          1 |         69 |
| external-research/litellm                                                                                                                                                                    |          1 |         11 |          6 |          3 |         20 |
| external-research/litellm/.github                                                                                                                                                            |          1 |         11 |          6 |          3 |         20 |
| external-research/litellm/.github/observatory                                                                                                                                                |          1 |         11 |          6 |          3 |         20 |
| external-research/qdrant                                                                                                                                                                     |          9 |      2,176 |         20 |        147 |      2,343 |
| external-research/qdrant/openapi                                                                                                                                                             |          9 |      2,176 |         20 |        147 |      2,343 |
| external-research/rill                                                                                                                                                                       |         27 |    152,071 |          0 |         24 |    152,095 |
| external-research/rill/runtime                                                                                                                                                               |         22 |         60 |          0 |         19 |         79 |
| external-research/rill/runtime/testruntime                                                                                                                                                   |         22 |         60 |          0 |         19 |         79 |
| external-research/rill/runtime/testruntime/testdata                                                                                                                                          |         22 |         60 |          0 |         19 |         79 |
| external-research/rill/runtime/testruntime/testdata/ad_bids                                                                                                                                  |          2 |          9 |          0 |          0 |          9 |
| external-research/rill/runtime/testruntime/testdata/ad_bids/data                                                                                                                             |          2 |          9 |          0 |          0 |          9 |
| external-research/rill/runtime/testruntime/testdata/ad_bids_2rows                                                                                                                            |          1 |          3 |          0 |          0 |          3 |
| external-research/rill/runtime/testruntime/testdata/ad_bids_2rows/data                                                                                                                       |          1 |          3 |          0 |          0 |          3 |
| external-research/rill/runtime/testruntime/testdata/init_data                                                                                                                                |         19 |         48 |          0 |         19 |         67 |
| external-research/rill/runtime/testruntime/testdata/init_data/azure                                                                                                                          |         19 |         48 |          0 |         19 |         67 |
| external-research/rill/runtime/testruntime/testdata/init_data/azure/csv_test                                                                                                                 |          1 |          4 |          0 |          1 |          5 |
| external-research/rill/runtime/testruntime/testdata/init_data/azure/glob_test                                                                                                                |          4 |         16 |          0 |          4 |         20 |
| external-research/rill/runtime/testruntime/testdata/init_data/azure/glob_test/y=2010                                                                                                         |          1 |          4 |          0 |          1 |          5 |
| external-research/rill/runtime/testruntime/testdata/init_data/azure/glob_test/y=2023                                                                                                         |          1 |          4 |          0 |          1 |          5 |
| external-research/rill/runtime/testruntime/testdata/init_data/azure/glob_test/y=2024                                                                                                         |          2 |          8 |          0 |          2 |         10 |
| external-research/rill/runtime/testruntime/testdata/init_data/azure/listing_glob_test                                                                                                        |         14 |         28 |          0 |         14 |         42 |
| external-research/rill/runtime/testruntime/testdata/init_data/azure/listing_glob_test/year=2024                                                                                              |          3 |          6 |          0 |          3 |          9 |
| external-research/rill/runtime/testruntime/testdata/init_data/azure/listing_glob_test/year=2024/month=11                                                                                     |          3 |          6 |          0 |          3 |          9 |
| external-research/rill/runtime/testruntime/testdata/init_data/azure/listing_glob_test/year=2024/month=11/day=30                                                                              |          2 |          4 |          0 |          2 |          6 |
